t	rho11	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	rho22	
2.1000000000e+01	9.8441257656e-01	-2.1903068595e-03	6.7527315317e-02	-2.1903068595e-03	-6.7527315317e-02	1.5587423440e-02	
2.2000000000e+01	9.8339522752e-01	-2.9120659285e-03	6.7492079838e-02	-2.9120659285e-03	-6.7492079838e-02	1.6604772478e-02	
2.3000000000e+01	9.8237865710e-01	-3.6436655236e-03	6.7409187655e-02	-3.6436655236e-03	-6.7409187655e-02	1.7621342899e-02	
2.4000000000e+01	9.8136365558e-01	-4.3835750475e-03	6.7275856128e-02	-4.3835750475e-03	-6.7275856128e-02	1.8636344417e-02	
2.5000000000e+01	9.8035168766e-01	-5.1254976952e-03	6.7099489856e-02	-5.1254976952e-03	-6.7099489856e-02	1.9648312338e-02	
2.6000000000e+01	9.7934090161e-01	-5.8679290074e-03	6.6907443755e-02	-5.8679290074e-03	-6.6907443755e-02	2.0659098386e-02	
2.7000000000e+01	9.7833592001e-01	-6.6049380127e-03	6.6669605140e-02	-6.6049380127e-03	-6.6669605140e-02	2.1664079994e-02	
2.8000000000e+01	9.7733157793e-01	-7.3409311035e-03	6.6428609889e-02	-7.3409311035e-03	-6.6428609889e-02	2.2668422069e-02	
2.9000000000e+01	9.7633482123e-01	-8.0648746403e-03	6.6150174427e-02	-8.0648746403e-03	-6.6150174427e-02	2.3665178775e-02	
3.0000000000e+01	9.7533806452e-01	-8.7888181771e-03	6.5871738965e-02	-8.7888181771e-03	-6.5871738965e-02	2.4661935480e-02	
3.1000000000e+01	9.7435037365e-01	-9.4963402269e-03	6.5563031109e-02	-9.4963402269e-03	-6.5563031109e-02	2.5649626350e-02	
3.2000000000e+01	9.7336463484e-01	-1.0200326392e-02	6.5247804982e-02	-1.0200326392e-02	-6.5247804982e-02	2.6635365159e-02	
3.3000000000e+01	9.7238138362e-01	-1.0899809019e-02	6.4926699776e-02	-1.0899809019e-02	-6.4926699776e-02	2.7618616380e-02	
3.4000000000e+01	9.7141019926e-01	-1.1577445750e-02	6.4577076169e-02	-1.1577445750e-02	-6.4577076169e-02	2.8589800743e-02	
3.5000000000e+01	9.7043901489e-01	-1.2255082481e-02	6.4227452561e-02	-1.2255082481e-02	-6.4227452561e-02	2.9560985106e-02	
3.6000000000e+01	9.6946840857e-01	-1.2931754352e-02	6.3876843590e-02	-1.2931754352e-02	-6.3876843590e-02	3.0531591430e-02	
3.7000000000e+01	9.6851603120e-01	-1.3577998525e-02	6.3495160375e-02	-1.3577998525e-02	-6.3495160375e-02	3.1483968804e-02	
3.8000000000e+01	9.6756365382e-01	-1.4224242697e-02	6.3113477160e-02	-1.4224242697e-02	-6.3113477160e-02	3.2436346177e-02	
3.9000000000e+01	9.6661127645e-01	-1.4870486869e-02	6.2731793944e-02	-1.4870486869e-02	-6.2731793944e-02	3.3388723551e-02	
4.0000000000e+01	9.6566744729e-01	-1.5505364194e-02	6.2339073103e-02	-1.5505364194e-02	-6.2339073103e-02	3.4332552706e-02	
4.1000000000e+01	9.6473863091e-01	-1.6120278537e-02	6.1926967475e-02	-1.6120278537e-02	-6.1926967475e-02	3.5261369087e-02	
4.2000000000e+01	9.6380981453e-01	-1.6735192881e-02	6.1514861848e-02	-1.6735192881e-02	-6.1514861848e-02	3.6190185468e-02	
4.3000000000e+01	9.6288099815e-01	-1.7350107225e-02	6.1102756220e-02	-1.7350107225e-02	-6.1102756220e-02	3.7119001849e-02	
4.4000000000e+01	9.6195657322e-01	-1.7962183072e-02	6.0685651761e-02	-1.7962183072e-02	-6.0685651761e-02	3.8043426778e-02	
4.5000000000e+01	9.6105428681e-01	-1.8559949277e-02	6.0243346802e-02	-1.8559949277e-02	-6.0243346802e-02	3.8945713187e-02	
4.6000000000e+01	9.6015200041e-01	-1.9157715482e-02	5.9801041843e-02	-1.9157715482e-02	-5.9801041843e-02	3.9847999595e-02	
4.7000000000e+01	9.5924971400e-01	-1.9755481687e-02	5.9358736885e-02	-1.9755481687e-02	-5.9358736885e-02	4.0750286003e-02	
4.8000000000e+01	9.5835069498e-01	-2.0354148445e-02	5.8912915813e-02	-2.0354148445e-02	-5.8912915813e-02	4.1649305020e-02	
4.9000000000e+01	9.5747567751e-01	-2.0959430470e-02	5.8441266129e-02	-2.0959430470e-02	-5.8441266129e-02	4.2524322492e-02	
5.0000000000e+01	9.5660066004e-01	-2.1564712496e-02	5.7969616445e-02	-2.1564712496e-02	-5.7969616445e-02	4.3399339964e-02	
5.1000000000e+01	9.5572564256e-01	-2.2169994521e-02	5.7497966761e-02	-2.2169994521e-02	-5.7497966761e-02	4.4274357436e-02	
5.2000000000e+01	9.5485638104e-01	-2.2780145200e-02	5.7021719058e-02	-2.2780145200e-02	-5.7021719058e-02	4.5143618961e-02	
5.3000000000e+01	9.5400468097e-01	-2.3405150199e-02	5.6531442745e-02	-2.3405150199e-02	-5.6531442745e-02	4.5995319025e-02	
5.4000000000e+01	9.5315298091e-01	-2.4030155198e-02	5.6041166433e-02	-2.4030155198e-02	-5.6041166433e-02	4.6847019090e-02	
5.5000000000e+01	9.5230966486e-01	-2.4660884550e-02	5.5546084605e-02	-2.4660884550e-02	-5.5546084605e-02	4.7690335143e-02	
5.6000000000e+01	9.5147679730e-01	-2.5298756488e-02	5.5049145705e-02	-2.5298756488e-02	-5.5049145705e-02	4.8523202698e-02	
5.7000000000e+01	9.5065209479e-01	-2.5940460418e-02	5.4554446546e-02	-2.5940460418e-02	-5.4554446546e-02	4.9347905208e-02	
5.8000000000e+01	9.4983277798e-01	-2.6579782974e-02	5.4059412872e-02	-2.6579782974e-02	-5.4059412872e-02	5.0167222015e-02	
5.9000000000e+01	9.4902168195e-01	-2.7215695087e-02	5.3567519765e-02	-2.7215695087e-02	-5.3567519765e-02	5.0978318053e-02	
6.0000000000e+01	9.4821830519e-01	-2.7846081230e-02	5.3081981462e-02	-2.7846081230e-02	-5.3081981462e-02	5.1781694806e-02	
6.1000000000e+01	9.4742200848e-01	-2.8467136375e-02	5.2602539351e-02	-2.8467136375e-02	-5.2602539351e-02	5.2577991519e-02	
6.2000000000e+01	9.4663365435e-01	-2.9076505156e-02	5.2134125210e-02	-2.9076505156e-02	-5.2134125210e-02	5.3366345654e-02	
6.3000000000e+01	9.4585122387e-01	-2.9670941177e-02	5.1670438434e-02	-2.9670941177e-02	-5.1670438434e-02	5.4148776133e-02	
6.4000000000e+01	9.4507591502e-01	-3.0245262082e-02	5.1212819314e-02	-3.0245262082e-02	-5.1212819314e-02	5.4924084985e-02	
6.5000000000e+01	9.4430722986e-01	-3.0800030559e-02	5.0762755825e-02	-3.0800030559e-02	-5.0762755825e-02	5.5692770135e-02	
6.6000000000e+01	9.4354589798e-01	-3.1332345306e-02	5.0323198424e-02	-3.1332345306e-02	-5.0323198424e-02	5.6454102020e-02	
6.7000000000e+01	9.4279114040e-01	-3.1843087379e-02	4.9893285459e-02	-3.1843087379e-02	-4.9893285459e-02	5.7208859604e-02	
6.8000000000e+01	9.4204202297e-01	-3.2334713120e-02	4.9472072476e-02	-3.2334713120e-02	-4.9472072476e-02	5.7957977033e-02	
6.9000000000e+01	9.4129973495e-01	-3.2800259614e-02	4.9055688891e-02	-3.2800259614e-02	-4.9055688891e-02	5.8700265053e-02	
7.0000000000e+01	9.4056382816e-01	-3.3243236347e-02	4.8647091931e-02	-3.3243236347e-02	-4.8647091931e-02	5.9436171838e-02	
7.1000000000e+01	9.3983360286e-01	-3.3666303993e-02	4.8245548688e-02	-3.3666303993e-02	-4.8245548688e-02	6.0166397140e-02	
7.2000000000e+01	9.3910995119e-01	-3.4067033879e-02	4.7846959481e-02	-3.4067033879e-02	-4.7846959481e-02	6.0890048806e-02	
7.3000000000e+01	9.3839221941e-01	-3.4448714318e-02	4.7455203482e-02	-3.4448714318e-02	-4.7455203482e-02	6.1607780589e-02	
7.4000000000e+01	9.3767989091e-01	-3.4813795351e-02	4.7068248672e-02	-3.4813795351e-02	-4.7068248672e-02	6.2320109090e-02	
7.5000000000e+01	9.3697386783e-01	-3.5160310676e-02	4.6686501932e-02	-3.5160310676e-02	-4.6686501932e-02	6.3026132175e-02	
7.6000000000e+01	9.3627278338e-01	-3.5493575023e-02	4.6308256081e-02	-3.5493575023e-02	-4.6308256081e-02	6.3727216624e-02	
7.7000000000e+01	9.3557789586e-01	-3.5812574834e-02	4.5932506500e-02	-3.5812574834e-02	-4.5932506500e-02	6.4422104142e-02	
7.8000000000e+01	9.3488873296e-01	-3.6117492744e-02	4.5561573601e-02	-3.6117492744e-02	-4.5561573601e-02	6.5111267043e-02	
7.9000000000e+01	9.3420459646e-01	-3.6412419451e-02	4.5193242552e-02	-3.6412419451e-02	-4.5193242552e-02	6.5795403542e-02	
8.0000000000e+01	9.3352622674e-01	-3.6696009248e-02	4.4828402436e-02	-3.6696009248e-02	-4.4828402436e-02	6.6473773261e-02	
8.1000000000e+01	9.3285379155e-01	-3.6967014588e-02	4.4468336038e-02	-3.6967014588e-02	-4.4468336038e-02	6.7146208452e-02	
8.2000000000e+01	9.3218597702e-01	-3.7231868634e-02	4.4109940743e-02	-3.7231868634e-02	-4.4109940743e-02	6.7814022977e-02	
8.3000000000e+01	9.3152382095e-01	-3.7487244006e-02	4.3755175715e-02	-3.7487244006e-02	-4.3755175715e-02	6.8476179053e-02	
8.4000000000e+01	9.3086747456e-01	-3.7731482434e-02	4.3405183380e-02	-3.7731482434e-02	-4.3405183380e-02	6.9132525438e-02	
8.5000000000e+01	9.3021577740e-01	-3.7972443003e-02	4.3056283953e-02	-3.7972443003e-02	-4.3056283953e-02	6.9784222600e-02	
8.6000000000e+01	9.2956987110e-01	-3.8204798766e-02	4.2711344628e-02	-3.8204798766e-02	-4.2711344628e-02	7.0430128899e-02	
8.7000000000e+01	9.2892892289e-01	-3.8429436519e-02	4.2370101057e-02	-3.8429436519e-02	-4.2370101057e-02	7.1071077106e-02	
8.8000000000e+01	9.2829272688e-01	-3.8647834332e-02	4.2031960201e-02	-3.8647834332e-02	-4.2031960201e-02	7.1707273115e-02	
8.9000000000e+01	9.2766200139e-01	-3.8862282057e-02	4.1696117952e-02	-3.8862282057e-02	-4.1696117952e-02	7.2337998613e-02	
9.0000000000e+01	9.2703638362e-01	-3.9068530641e-02	4.1364534653e-02	-3.9068530641e-02	-4.1364534653e-02	7.2963616378e-02	
9.1000000000e+01	9.2641549400e-01	-3.9269049001e-02	4.1036159911e-02	-3.9269049001e-02	-4.1036159911e-02	7.3584506002e-02	
9.2000000000e+01	9.2579974126e-01	-3.9463276169e-02	4.0711377003e-02	-3.9463276169e-02	-4.0711377003e-02	7.4200258740e-02	
9.3000000000e+01	9.2518829728e-01	-3.9653566107e-02	4.0389128880e-02	-3.9653566107e-02	-4.0389128880e-02	7.4811702716e-02	
9.4000000000e+01	9.2458215007e-01	-3.9837542532e-02	4.0070666822e-02	-3.9837542532e-02	-4.0070666822e-02	7.5417849934e-02	
9.5000000000e+01	9.2398069895e-01	-4.0016207228e-02	3.9755512857e-02	-4.0016207228e-02	-3.9755512857e-02	7.6019301050e-02	
9.6000000000e+01	9.2338396824e-01	-4.0189754467e-02	3.9443649308e-02	-4.0189754467e-02	-3.9443649308e-02	7.6616031757e-02	
9.7000000000e+01	9.2279191691e-01	-4.0358257218e-02	3.9135086702e-02	-4.0358257218e-02	-3.9135086702e-02	7.7208083088e-02	
9.8000000000e+01	9.2220447390e-01	-4.0521930817e-02	3.8829765899e-02	-4.0521930817e-02	-3.8829765899e-02	7.7795526104e-02	
9.9000000000e+01	9.2162172965e-01	-4.0679833775e-02	3.8528115561e-02	-4.0679833775e-02	-3.8528115561e-02	7.8378270347e-02	
1.0000000000e+02	9.2104327820e-01	-4.0837246219e-02	3.8228024894e-02	-4.0837246219e-02	-3.8228024894e-02	7.8956721804e-02	
1.0100000000e+02	9.2046975622e-01	-4.0987858015e-02	3.7932139305e-02	-4.0987858015e-02	-3.7932139305e-02	7.9530243783e-02	
1.0200000000e+02	9.1990061766e-01	-4.1132711799e-02	3.7639900394e-02	-4.1132711799e-02	-3.7639900394e-02	8.0099382341e-02	
1.0300000000e+02	9.1933519811e-01	-4.1273473396e-02	3.7350462150e-02	-4.1273473396e-02	-3.7350462150e-02	8.0664801888e-02	
1.0400000000e+02	9.1877470514e-01	-4.1410575989e-02	3.7064074357e-02	-4.1410575989e-02	-3.7064074357e-02	8.1225294862e-02	
1.0500000000e+02	9.1821823736e-01	-4.1543200973e-02	3.6780744095e-02	-4.1543200973e-02	-3.6780744095e-02	8.1781762641e-02	
1.0600000000e+02	9.1766625267e-01	-4.1671794687e-02	3.6500451712e-02	-4.1671794687e-02	-3.6500451712e-02	8.2333747329e-02	
1.0700000000e+02	9.1711823944e-01	-4.1796185991e-02	3.6223080607e-02	-4.1796185991e-02	-3.6223080607e-02	8.2881760559e-02	
1.0800000000e+02	9.1657459770e-01	-4.1916226498e-02	3.5948809139e-02	-4.1916226498e-02	-3.5948809139e-02	8.3425402301e-02	
1.0900000000e+02	9.1603471373e-01	-4.2033364970e-02	3.5676876206e-02	-4.2033364970e-02	-3.5676876206e-02	8.3965286271e-02	
1.1000000000e+02	9.1549906309e-01	-4.2147249775e-02	3.5407563647e-02	-4.2147249775e-02	-3.5407563647e-02	8.4500936914e-02	
1.1100000000e+02	9.1496762210e-01	-4.2255610866e-02	3.5141718682e-02	-4.2255610866e-02	-3.5141718682e-02	8.5032377899e-02	
1.1200000000e+02	9.1443981263e-01	-4.2361322062e-02	3.4878072187e-02	-4.2361322062e-02	-3.4878072187e-02	8.5560187365e-02	
1.1300000000e+02	9.1391630407e-01	-4.2462079241e-02	3.4617734628e-02	-4.2462079241e-02	-3.4617734628e-02	8.6083695928e-02	
1.1400000000e+02	9.1339659288e-01	-4.2560766848e-02	3.4359481256e-02	-4.2560766848e-02	-3.4359481256e-02	8.6603407125e-02	
1.1500000000e+02	9.1288086276e-01	-4.2654852395e-02	3.4104378431e-02	-4.2654852395e-02	-3.4104378431e-02	8.7119137243e-02	
1.1600000000e+02	9.1236859074e-01	-4.2744814475e-02	3.3852107602e-02	-4.2744814475e-02	-3.3852107602e-02	8.7631409262e-02	
1.1700000000e+02	9.1186053516e-01	-4.2833398256e-02	3.3601997614e-02	-4.2833398256e-02	-3.3601997614e-02	8.8139464837e-02	
1.1800000000e+02	9.1135610418e-01	-4.2917850481e-02	3.3354945781e-02	-4.2917850481e-02	-3.3354945781e-02	8.8643895820e-02	
1.1900000000e+02	9.1085515518e-01	-4.2999089070e-02	3.3110624374e-02	-4.2999089070e-02	-3.3110624374e-02	8.9144844820e-02	
1.2000000000e+02	9.1035806857e-01	-4.3081222926e-02	3.2867748000e-02	-4.3081222926e-02	-3.2867748000e-02	8.9641931426e-02	
1.2100000000e+02	9.0986457618e-01	-4.3157947852e-02	3.2628689124e-02	-4.3157947852e-02	-3.2628689124e-02	9.0135423815e-02	
1.2200000000e+02	9.0937516775e-01	-4.3230847310e-02	3.2393214659e-02	-4.3230847310e-02	-3.2393214659e-02	9.0624832246e-02	
1.2300000000e+02	9.0888853519e-01	-4.3302583606e-02	3.2159712637e-02	-4.3302583606e-02	-3.2159712637e-02	9.1111464807e-02	
1.2400000000e+02	9.0840592741e-01	-4.3370182617e-02	3.1930088113e-02	-4.3370182617e-02	-3.1930088113e-02	9.1594072586e-02	
1.2500000000e+02	9.0792623636e-01	-4.3437470846e-02	3.1702324907e-02	-4.3437470846e-02	-3.1702324907e-02	9.2073763639e-02	
1.2600000000e+02	9.0745015352e-01	-4.3503602870e-02	3.1477226201e-02	-4.3503602870e-02	-3.1477226201e-02	9.2549846478e-02	
1.2700000000e+02	9.0697752888e-01	-4.3566340344e-02	3.1255621273e-02	-4.3566340344e-02	-3.1255621273e-02	9.3022471123e-02	
1.2800000000e+02	9.0650820981e-01	-4.3626597680e-02	3.1037116879e-02	-4.3626597680e-02	-3.1037116879e-02	9.3491790193e-02	
1.2900000000e+02	9.0604206898e-01	-4.3685711880e-02	3.0821157207e-02	-4.3685711880e-02	-3.0821157207e-02	9.3957931022e-02	
1.3000000000e+02	9.0557930795e-01	-4.3741453928e-02	3.0608755563e-02	-4.3741453928e-02	-3.0608755563e-02	9.4420692048e-02	
1.3100000000e+02	9.0511955058e-01	-4.3799344720e-02	3.0397571430e-02	-4.3799344720e-02	-3.0397571430e-02	9.4880449419e-02	
1.3200000000e+02	9.0466325764e-01	-4.3853811573e-02	3.0190054076e-02	-4.3853811573e-02	-3.0190054076e-02	9.5336742359e-02	
1.3300000000e+02	9.0421010573e-01	-4.3904577670e-02	2.9986093517e-02	-4.3904577670e-02	-2.9986093517e-02	9.5789894267e-02	
1.3400000000e+02	9.0375943215e-01	-4.3953008401e-02	2.9784715543e-02	-4.3953008401e-02	-2.9784715543e-02	9.6240567846e-02	
1.3500000000e+02	9.0331222307e-01	-4.4001980676e-02	2.9585488366e-02	-4.4001980676e-02	-2.9585488366e-02	9.6687776929e-02	
1.3600000000e+02	9.0286799529e-01	-4.4047871768e-02	2.9389458269e-02	-4.4047871768e-02	-2.9389458269e-02	9.7132004712e-02	
1.3700000000e+02	9.0242637662e-01	-4.4092772949e-02	2.9195566827e-02	-4.4092772949e-02	-2.9195566827e-02	9.7573623385e-02	
1.3800000000e+02	9.0198778390e-01	-4.4138567963e-02	2.9003365118e-02	-4.4138567963e-02	-2.9003365118e-02	9.8012216101e-02	
1.3900000000e+02	9.0155215483e-01	-4.4180155691e-02	2.8814751755e-02	-4.4180155691e-02	-2.8814751755e-02	9.8447845174e-02	
1.4000000000e+02	9.0111975516e-01	-4.4218208680e-02	2.8629637141e-02	-4.4218208680e-02	-2.8629637141e-02	9.8880244841e-02	
1.4100000000e+02	9.0068946268e-01	-4.4256850708e-02	2.8445691611e-02	-4.4256850708e-02	-2.8445691611e-02	9.9310537317e-02	
1.4200000000e+02	9.0026220025e-01	-4.4293636984e-02	2.8264457204e-02	-4.4293636984e-02	-2.8264457204e-02	9.9737799746e-02	
1.4300000000e+02	8.9983773011e-01	-4.4327524543e-02	2.8086171369e-02	-4.4327524543e-02	-2.8086171369e-02	1.0016226989e-01	
1.4400000000e+02	8.9941567832e-01	-4.4364147689e-02	2.7908428031e-02	-4.4364147689e-02	-2.7908428031e-02	1.0058432168e-01	
1.4500000000e+02	8.9899664295e-01	-4.4397188828e-02	2.7734038740e-02	-4.4397188828e-02	-2.7734038740e-02	1.0100335705e-01	
1.4600000000e+02	8.9858017772e-01	-4.4427770590e-02	2.7562281060e-02	-4.4427770590e-02	-2.7562281060e-02	1.0141982228e-01	
1.4700000000e+02	8.9816587866e-01	-4.4456992109e-02	2.7392469588e-02	-4.4456992109e-02	-2.7392469588e-02	1.0183412134e-01	
1.4800000000e+02	8.9775449839e-01	-4.4485067874e-02	2.7225020557e-02	-4.4485067874e-02	-2.7225020557e-02	1.0224550161e-01	
1.4900000000e+02	8.9734533126e-01	-4.4511359239e-02	2.7059716701e-02	-4.4511359239e-02	-2.7059716701e-02	1.0265466874e-01	
1.5000000000e+02	8.9693888811e-01	-4.4538868232e-02	2.6895749703e-02	-4.4538868232e-02	-2.6895749703e-02	1.0306111189e-01	
1.5100000000e+02	8.9653491727e-01	-4.4563679314e-02	2.6734459130e-02	-4.4563679314e-02	-2.6734459130e-02	1.0346508273e-01	
1.5200000000e+02	8.9613316107e-01	-4.4587448036e-02	2.6575043866e-02	-4.4587448036e-02	-2.6575043866e-02	1.0386683893e-01	
1.5300000000e+02	8.9573397962e-01	-4.4609762133e-02	2.6417908095e-02	-4.4609762133e-02	-2.6417908095e-02	1.0426602038e-01	
1.5400000000e+02	8.9533692064e-01	-4.4631593967e-02	2.6262381814e-02	-4.4631593967e-02	-2.6262381814e-02	1.0466307936e-01	
1.5500000000e+02	8.9494236298e-01	-4.4651956151e-02	2.6109104201e-02	-4.4651956151e-02	-2.6109104201e-02	1.0505763702e-01	
1.5600000000e+02	8.9455012612e-01	-4.4670507213e-02	2.5958091381e-02	-4.4670507213e-02	-2.5958091381e-02	1.0544987388e-01	
1.5700000000e+02	8.9415992659e-01	-4.4690111535e-02	2.5808058273e-02	-4.4690111535e-02	-2.5808058273e-02	1.0584007341e-01	
1.5800000000e+02	8.9377233605e-01	-4.4707369605e-02	2.5660704220e-02	-4.4707369605e-02	-2.5660704220e-02	1.0622766395e-01	
1.5900000000e+02	8.9338653010e-01	-4.4722957504e-02	2.5515212272e-02	-4.4722957504e-02	-2.5515212272e-02	1.0661346990e-01	
1.6000000000e+02	8.9300322445e-01	-4.4738202863e-02	2.5371570646e-02	-4.4738202863e-02	-2.5371570646e-02	1.0699677555e-01	
1.6100000000e+02	8.9262195757e-01	-4.4750224285e-02	2.5230572928e-02	-4.4750224285e-02	-2.5230572928e-02	1.0737804243e-01	
1.6200000000e+02	8.9224277577e-01	-4.4765019035e-02	2.5089956837e-02	-4.4765019035e-02	-2.5089956837e-02	1.0775722423e-01	
1.6300000000e+02	8.9186584573e-01	-4.4778421005e-02	2.4951442189e-02	-4.4778421005e-02	-2.4951442189e-02	1.0813415427e-01	
1.6400000000e+02	8.9149095535e-01	-4.4789096730e-02	2.4815399134e-02	-4.4789096730e-02	-2.4815399134e-02	1.0850904465e-01	
1.6500000000e+02	8.9111789028e-01	-4.4794929250e-02	2.4682494191e-02	-4.4794929250e-02	-2.4682494191e-02	1.0888210972e-01	
1.6600000000e+02	8.9074713236e-01	-4.4794670291e-02	2.4553551494e-02	-4.4794670291e-02	-2.4553551494e-02	1.0925286764e-01	
1.6700000000e+02	8.9037825920e-01	-4.4794168703e-02	2.4426035239e-02	-4.4794168703e-02	-2.4426035239e-02	1.0962174080e-01	
1.6800000000e+02	8.9001116609e-01	-4.4830593107e-02	2.4285615305e-02	-4.4830593107e-02	-2.4285615305e-02	1.0998883391e-01	
1.6900000000e+02	8.8964619443e-01	-4.4840732920e-02	2.4156789908e-02	-4.4840732920e-02	-2.4156789908e-02	1.1035380557e-01	
1.7000000000e+02	8.8928320444e-01	-4.4848129531e-02	2.4030433093e-02	-4.4848129531e-02	-2.4030433093e-02	1.1071679556e-01	
1.7100000000e+02	8.8892196007e-01	-4.4855075009e-02	2.3905500682e-02	-4.4855075009e-02	-2.3905500682e-02	1.1107803993e-01	
1.7200000000e+02	8.8856296096e-01	-4.4860073079e-02	2.3782929129e-02	-4.4860073079e-02	-2.3782929129e-02	1.1143703904e-01	
1.7300000000e+02	8.8820529679e-01	-4.4865626243e-02	2.3661106806e-02	-4.4865626243e-02	-2.3661106806e-02	1.1179470321e-01	
1.7400000000e+02	8.8784974250e-01	-4.4869843302e-02	2.3541320005e-02	-4.4869843302e-02	-2.3541320005e-02	1.1215025750e-01	
1.7500000000e+02	8.8749571634e-01	-4.4875258106e-02	2.3422178769e-02	-4.4875258106e-02	-2.3422178769e-02	1.1250428366e-01	
1.7600000000e+02	8.8714369230e-01	-4.4879441005e-02	2.3304960199e-02	-4.4879441005e-02	-2.3304960199e-02	1.1285630770e-01	
1.7700000000e+02	8.8679338066e-01	-4.4881682851e-02	2.3189728181e-02	-4.4881682851e-02	-2.3189728181e-02	1.1320661934e-01	
1.7800000000e+02	8.8644475750e-01	-4.4884704227e-02	2.3075422878e-02	-4.4884704227e-02	-2.3075422878e-02	1.1355524250e-01	
1.7900000000e+02	8.8609790746e-01	-4.4885697761e-02	2.2963183889e-02	-4.4885697761e-02	-2.2963183889e-02	1.1390209254e-01	
1.8000000000e+02	8.8575279133e-01	-4.4889016480e-02	2.2851313578e-02	-4.4889016480e-02	-2.2851313578e-02	1.1424720867e-01	
1.8100000000e+02	8.8540939965e-01	-4.4890173726e-02	2.2741527392e-02	-4.4890173726e-02	-2.2741527392e-02	1.1459060035e-01	
1.8200000000e+02	8.8506742437e-01	-4.4890463359e-02	2.2633105358e-02	-4.4890463359e-02	-2.2633105358e-02	1.1493257563e-01	
1.8300000000e+02	8.8472727167e-01	-4.4890572921e-02	2.2526080334e-02	-4.4890572921e-02	-2.2526080334e-02	1.1527272833e-01	
1.8400000000e+02	8.8438852622e-01	-4.4889989377e-02	2.2420347317e-02	-4.4889989377e-02	-2.2420347317e-02	1.1561147378e-01	
1.8500000000e+02	8.8405152276e-01	-4.4890199610e-02	2.2315580925e-02	-4.4890199610e-02	-2.2315580925e-02	1.1594847724e-01	
1.8600000000e+02	8.8371615862e-01	-4.4887812325e-02	2.2213008826e-02	-4.4887812325e-02	-2.2213008826e-02	1.1628384138e-01	
1.8700000000e+02	8.8338206204e-01	-4.4885095178e-02	2.2111490165e-02	-4.4885095178e-02	-2.2111490165e-02	1.1661793796e-01	
